annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2024;Octobre;2024-10-16;Mercredi;42;13;13;Urbaine;Régulières Urbaines;7008.23529
2024;Août;2024-08-29;Jeudi;35;1;C1;CHRONOSTAR;CHRONOSTAR;8796.47059
2024;Juillet;2024-07-20;Samedi;29;1002;b;Métro;METRO;33887.26754
2024;Octobre;2024-10-16;Mercredi;42;61;61;Métropolitaine;Régulières Métropolitaines;1771.76471
2024;Août;2024-08-29;Jeudi;35;10;10;Urbaine;Régulières Urbaines;1763.52941
2024;Juillet;2024-07-21;Dimanche;29;1;C1;CHRONOSTAR;CHRONOSTAR;2023.52941
2024;Octobre;2024-10-16;Mercredi;42;64;64;Métropolitaine;Régulières Métropolitaines;1585.88235
2024;Août;2024-08-29;Jeudi;35;11;11;Urbaine;Régulières Urbaines;7598.82353
2024;Juillet;2024-07-21;Dimanche;29;4;C4;CHRONOSTAR;CHRONOSTAR;2405.88235
2024;Octobre;2024-10-16;Mercredi;42;70;70;Métropolitaine;Régulières Métropolitaines;95.29412
2024;Août;2024-08-29;Jeudi;35;37;37;Inter-quartiers;Régulières Urbaines;174.11765
2024;Juillet;2024-07-21;Dimanche;29;14;14;Urbaine;Régulières Urbaines;315.29412
2024;Octobre;2024-10-16;Mercredi;42;71;71;Métropolitaine;Régulières Métropolitaines;590.58824
2024;Août;2024-08-29;Jeudi;35;59;59;Métropolitaine;Régulières Métropolitaines;1705.88235
2024;Juillet;2024-07-21;Dimanche;29;53;53;Métropolitaine;Régulières Métropolitaines;394.11765
2024;Octobre;2024-10-16;Mercredi;42;76;76;Métropolitaine;Régulières Métropolitaines;1088.23529
2024;Août;2024-08-29;Jeudi;35;61;61;Métropolitaine;Régulières Métropolitaines;1332.94118
2024;Juillet;2024-07-21;Dimanche;29;61;61;Métropolitaine;Régulières Métropolitaines;284.70588
2024;Octobre;2024-10-16;Mercredi;42;78;78;Métropolitaine;Régulières Métropolitaines;1417.64706
2024;Août;2024-08-29;Jeudi;35;68;68;Métropolitaine;Régulières Métropolitaines;895.29412
2024;Juillet;2024-07-21;Dimanche;29;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;232.63158
2024;Octobre;2024-10-16;Mercredi;42;83;83;Métropolitaine;Régulières Métropolitaines;892.94118
2024;Août;2024-08-29;Jeudi;35;80;80;Métropolitaine;Régulières Métropolitaines;524.70588
2024;Juillet;2024-07-22;Lundi;30;12;12;Urbaine;Régulières Urbaines;2652.94118
