Equipement (ID);Nom;Station (ID);Station (nom);Coordonnées;Etat;Dernière mise à jour;Identifiant de la Ligne de métro (linéo);type;typecourt
ASC_POT_3;Quai vers La Poterie <-> Extérieur (sortie parc-relais);15015;La Poterie;48.0874903545205, -1.6445729730928;En fonctionnement;2025-06-19T04:59:49+02:00;1001;Ascenseur;ASC
ATA_DAT07004;Quai direction Gaîté (Droite);15051;Atalante;48.127146027774, -1.62802297006244;En fonctionnement;2025-06-19T08:16:54+02:00;1002;Distributeur de titres;DAT
ASC_LGA_2;Quai vers Gaîté <-> Salle des billets;15054;Les Gayeulles;48.1293946374996, -1.65730026310517;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_POT_4;Quai vers La Poterie <-> Extérieur (sortie Hautes Ourmes);15015;La Poterie;48.0874903545205, -1.6445729730928;En fonctionnement;2025-06-19T04:59:50+02:00;1001;Ascenseur;ASC
BLO_DAT57001;Distributeur 1;15014;Le Blosne;48.0877318776703, -1.65427829648798;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
ASC_MAB_1;Quai vers Viasilva <-> Salle des billets;15061;Mabilais;48.1050592898409, -1.6926513768705;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_REP_1;Quai vers Kennedy <-> Extérieur;15006;République;48.1097592170185, -1.67918191615921;En fonctionnement;2025-06-19T16:24:00+02:00;1001;Ascenseur;ASC
BUN_DAT06501;Salle des billets coté direction Gaîté (Gauche);15052;Beaulieu - Université;48.1221291972709, -1.63911623985879;En fonctionnement;2025-06-19T06:44:24+02:00;1002;Distributeur de titres;DAT
ASC_POT_2;Quai vers Kennedy <-> Extérieur (sortie Hautes Ourmes);15015;La Poterie;48.0874903545205, -1.6445729730928;En fonctionnement;2025-06-19T04:59:49+02:00;1001;Ascenseur;ASC
ASC_SGE_2;Quai vers Gaîté <-> Salle des billets;15058;Saint-Germain;48.1106162622745, -1.67627275951495;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
CDG_DAT53501;Distributeur 1;15007;Charles de Gaulle;48.1054604488328, -1.67682850261658;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
ASC_SGE_3;Salle des billets <-> Extérieur (sortie place Saint Germain);15058;Saint-Germain;48.1106162622745, -1.67627275951495;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_SJG_3;Salle des billets <-> Extérieur (sortie parc-relais);15064;Saint-Jacques - Gaîté;48.092046766998, -1.70362011945964;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
CDG_DAT53502;Distributeur 2;15007;Charles de Gaulle;48.1054604488328, -1.67682850261658;En fonctionnement;2025-06-19T17:49:10+02:00;1001;Distributeur de titres;DAT
ASC_SGE_4;Salle des billets <-> Extérieur (sortie quai Chateaubriand);15058;Saint-Germain;48.1106162622745, -1.67627275951495;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_STA_1;Quai vers Kennedy <-> Salle des billets;15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T15:10:40+02:00;1001;Ascenseur;ASC
CLE_DAT01502;Salle des billets (Droite);15062;Cleunay;48.1010024445846, -1.70640767697345;En fonctionnement;2025-06-19T02:05:29+02:00;1002;Distributeur de titres;DAT
ASC_SJG_1;Quai vers Viasilva <-> Salle des billets;15064;Saint-Jacques - Gaîté;48.092046766998, -1.70362011945964;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_STAB_3;Salle des billets <-> Extérieur;15005;Sainte-Anne;48.1145246924753, -1.68050893960345;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ESC_BUN_1;Extérieur -> Quai vers Viasilva;15052;Beaulieu - Université;48.1221291972709, -1.63911623985879;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Escalier mécanique;ESC
ASC_TRI_2;Quai vers La Poterie <-> Extérieur;15013;Triangle;48.0864371868635, -1.66035956927485;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_TRI_1;Quai vers Kennedy <-> Extérieur;15013;Triangle;48.0864371868635, -1.66035956927485;En fonctionnement;2025-06-19T17:04:20+02:00;1001;Ascenseur;ASC
ESC_BUN_2;Extérieur -> Quai vers Gaîté;15052;Beaulieu - Université;48.1221291972709, -1.63911623985879;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Escalier mécanique;ESC
ASC_VU_2;Quai vers La Poterie <-> Extérieur;15002;Villejean-Université;48.1212406422311, -1.7039291787219;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_VU_1;Quai vers Kennedy <-> Extérieur;15002;Villejean-Université;48.1212406422311, -1.7039291787219;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ESC_CDG_2;Quai vers La Poterie -> Extérieur;15007;Charles de Gaulle;48.1054604488328, -1.67682850261658;Indisponible;2025-06-13T08:11:41+02:00;1001;Escalier mécanique;ESC
ATA_DAT07002;Quai direction Viasilva (Droite);15051;Atalante;48.127146027774, -1.62802297006244;En fonctionnement;2025-06-19T06:17:34+02:00;1002;Distributeur de titres;DAT
ATA_DAT07001;Quai direction Viasilva (Gauche);15051;Atalante;48.127146027774, -1.62802297006244;En fonctionnement;2025-06-19T06:19:44+02:00;1002;Distributeur de titres;DAT
